BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 3141  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel                              
IRAF-MIN=                   0.  /  Min image pixel                              
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '07D4FL            '  /                                              
FILENAME= '07D4FLFC_RECAL2_ATM[*,1,1]'  /
7247.12064254296  5.653692E-19
7248.48807001126  6.011991E-19
7249.85549747956  4.626375E-19
7251.22292494786  4.169645E-19
7252.59035241616  6.104913E-19
7253.95777988446  5.134679E-19
7255.32520735276  5.800883E-19
7256.69263482106  5.806891E-19
7258.06006228936  5.983130E-19
7259.42748975766  4.931081E-19
7260.79491722596  5.215746E-19
7262.16234469426  5.381126E-19
7263.52977216256  6.932952E-19
7264.89719963086  7.049188E-19
7266.26462709916  5.670072E-19
7267.63205456746  4.964538E-19
7268.99948203576  5.829713E-19
7270.36690950406  4.859978E-19
7271.73433697236  4.459876E-19
7273.10176444066  4.268718E-19
7274.46919190896  6.133231E-19
7275.83661937726  2.261356E-19
7277.20404684556  5.250923E-19
7278.57147431386  6.291678E-19
7279.93890178216  5.912987E-19
7281.30632925046  6.206938E-19
7282.67375671876  5.748850E-19
7284.04118418706  7.219104E-19
7285.40861165535  7.360789E-19
7286.77603912366  6.437533E-19
7288.14346659196  5.273962E-19
7289.51089406026  4.849693E-19
7290.87832152856  5.466745E-19
7292.24574899685  5.125214E-19
7293.61317646516  4.608458E-19
7294.98060393346  3.688319E-19
7296.34803140175  4.517925E-19
7297.71545887006  4.880805E-19
7299.08288633835  5.740331E-19
7300.45031380666  4.926311E-19
7301.81774127495  5.471573E-19
7303.18516874325  7.982049E-19
7304.55259621155  6.283911E-19
7305.92002367985  7.438174E-19
7307.28745114815  5.308767E-19
7308.65487861645  5.623116E-19
7310.02230608475  5.691353E-19
7311.38973355306  4.638640E-19
7312.75716102135  2.277158E-19
7314.12458848965  5.557561E-19
7315.49201595795  5.362670E-19
7316.85944342625  5.077543E-19
7318.22687089455  4.218269E-19
7319.59429836285  4.250136E-19
7320.96172583115  4.963991E-19
7322.32915329945  5.728086E-19
7323.69658076775  5.580857E-19
7325.06400823605  4.835971E-19
7326.43143570435  5.320286E-19
7327.79886317265  5.561960E-19
7329.16629064095  7.713805E-19
7330.53371810925  7.540924E-19
7331.90114557755  3.552898E-19
7333.26857304585  4.829287E-19
7334.63600051415  4.642148E-19
7336.00342798245  4.200487E-19
7337.37085545075  3.351727E-19
7338.73828291905  4.251067E-19
7340.10571038735  6.372014E-19
7341.47313785565  4.486361E-19
7342.84056532395  5.257653E-19
7344.20799279225  4.332701E-19
7345.57542026055  4.885130E-19
7346.94284772885  4.158745E-19
7348.31027519715  3.304122E-19
7349.67770266545  6.251610E-19
7351.04513013375  5.973831E-19
7352.41255760205  4.266827E-19
7353.77998507035  4.229355E-19
7355.14741253865  4.269390E-19
7356.51484000695  4.661377E-19
7357.88226747525  3.926470E-19
7359.24969494355  3.825932E-19
7360.61712241185  3.847900E-19
7361.98454988015  4.537273E-19
7363.35197734845  4.414578E-19
7364.71940481675  6.764488E-19
7366.08683228505  9.425215E-19
7367.45425975335  1.074497E-18
7368.82168722165  -5.364087E-20
7370.18911468995  6.852816E-19
7371.55654215825  7.585517E-19
7372.92396962655  6.368056E-19
7374.29139709485  4.662182E-19
7375.65882456315  3.230434E-19
7377.02625203145  3.779682E-19
7378.39367949975  5.192619E-19
7379.76110696805  5.209898E-19
7381.12853443635  6.275148E-19
7382.49596190465  6.484980E-19
7383.86338937295  5.367790E-19
7385.23081684125  5.178746E-19
7386.59824430955  5.160297E-19
7387.96567177785  2.774461E-19
7389.33309924615  3.474969E-19
7390.70052671445  4.285467E-19
7392.06795418275  4.190215E-19
7393.43538165105  4.859600E-19
7394.80280911935  6.250963E-19
7396.17023658765  3.934236E-19
7397.53766405595  3.500949E-19
7398.90509152425  7.066921E-20
7400.27251899255  4.016557E-19
7401.63994646085  7.631678E-19
7403.00737392915  7.243699E-19
7404.37480139745  4.759241E-19
7405.74222886575  5.930526E-19
7407.10965633405  5.008126E-19
7408.47708380235  5.253707E-19
7409.84451127065  5.033731E-19
7411.21193873895  6.131498E-19
7412.57936620725  5.301475E-19
7413.94679367555  6.053007E-19
7415.31422114385  5.098352E-19
7416.68164861215  7.463179E-19
7418.04907608045  5.845131E-19
7419.41650354875  4.671787E-19
7420.78393101705  4.866772E-19
7422.15135848535  5.846354E-19
7423.51878595365  5.650281E-19
7424.88621342195  5.370062E-19
7426.25364089025  6.494403E-19
7427.62106835855  6.996397E-19
7428.98849582685  6.944697E-19
7430.35592329515  4.113172E-19
7431.72335076344  5.562142E-19
7433.09077823174  6.722548E-19
7434.45820570005  5.186633E-19
7435.82563316835  2.516238E-19
7437.19306063664  5.675486E-19
7438.56048810494  3.953313E-19
7439.92791557325  6.093570E-19
7441.29534304154  5.587631E-19
7442.66277050984  6.570225E-19
7444.03019797814  5.981848E-19
7445.39762544644  5.852983E-19
7446.76505291474  7.870636E-19
7448.13248038304  6.095824E-19
7449.49990785134  4.075829E-19
7450.86733531964  5.488232E-19
7452.23476278794  3.760730E-19
7453.60219025624  5.814638E-19
7454.96961772454  8.067367E-19
7456.33704519284  4.175192E-19
7457.70447266114  4.977725E-19
7459.07190012944  4.798304E-19
7460.43932759774  5.001326E-19
7461.80675506604  2.922239E-19
7463.17418253434  6.652187E-19
7464.54161000264  4.679325E-19
7465.90903747094  6.846565E-19
7467.27646493924  6.728032E-19
7468.64389240754  5.812997E-19
7470.01131987584  9.138225E-20
7471.37874734414  4.466161E-19
7472.74617481244  8.362851E-19
7474.11360228074  6.396905E-19
7475.48102974904  1.740335E-19
7476.84845721734  6.110757E-19
7478.21588468564  6.923437E-19
7479.58331215394  5.136183E-19
7480.95073962224  7.689932E-19
7482.31816709054  8.401257E-19
7483.68559455884  4.476163E-19
7485.05302202714  6.083230E-19
7486.42044949544  6.425585E-19
7487.78787696374  5.583757E-19
7489.15530443204  6.448731E-19
7490.52273190034  3.995279E-19
7491.89015936864  6.060657E-19
7493.25758683694  6.908044E-19
7494.62501430524  7.637070E-19
7495.99244177354  6.185616E-19
7497.35986924184  6.850397E-19
7498.72729671014  5.359346E-19
7500.09472417844  4.419716E-19
7501.46215164674  5.174809E-19
7502.82957911504  3.643175E-19
7504.19700658334  4.564650E-19
7505.56443405164  4.964111E-19
7506.93186151994  6.989542E-19
7508.29928898824  8.223854E-19
7509.66671645654  8.009847E-19
7511.03414392484  4.190959E-19
7512.40157139314  6.564988E-19
7513.76899886144  8.440705E-19
7515.13642632974  1.126654E-18
7516.50385379804  6.067464E-19
7517.87128126634  8.934017E-19
7519.23870873464  7.459305E-19
7520.60613620294  7.352034E-19
7521.97356367124  3.608733E-19
7523.34099113954  7.179840E-19
7524.70841860784  9.046360E-19
7526.07584607614  4.924910E-19
7527.44327354444  8.796280E-19
7528.81070101274  7.349364E-19
7530.17812848104  6.191232E-19
7531.54555594934  4.629716E-19
7532.91298341764  5.099567E-19
7534.28041088594  3.837094E-19
7535.64783835424  4.432207E-19
7537.01526582254  5.635710E-19
7538.38269329084  5.904105E-19
7539.75012075914  9.472821E-19
7541.11754822744  5.993168E-19
7542.48497569574  6.700478E-19
7543.85240316404  6.336347E-19
7545.21983063234  5.620688E-19
7546.58725810064  6.554158E-19
7547.95468556894  5.901412E-19
7549.32211303724  7.755181E-19
7550.68954050554  7.478070E-19
7552.05696797384  6.859946E-19
7553.42439544214  6.279022E-19
7554.79182291044  6.361229E-19
7556.15925037874  5.076342E-19
7557.52667784704  4.409634E-19
7558.89410531534  2.874857E-19
7560.26153278364  4.201422E-19
7561.62896025194  1.909977E-19
7562.99638772024  6.834092E-19
7564.36381518854  5.490778E-19
7565.73124265684  5.903642E-19
7567.09867012514  8.004226E-19
7568.46609759343  7.667558E-19
7569.83352506173  9.056589E-19
7571.20095253004  6.324367E-19
7572.56837999833  6.097111E-19
7573.93580746663  4.994953E-19
7575.30323493493  7.653577E-19
7576.67066240323  6.585900E-19
7578.03808987153  7.215645E-19
7579.40551733983  6.953812E-19
7580.77294480813  7.381644E-19
7582.14037227643  6.369172E-19
7583.50779974473  3.846131E-19
7584.87522721303  4.664194E-19
7586.24265468133  7.704364E-19
7587.61008214963  8.554633E-19
7588.97750961793  8.317977E-19
7590.34493708623  8.505843E-19
7591.71236455453  7.150378E-19
7593.07979202283  7.681622E-19
7594.44721949113  1.955855E-19
7595.81464695943  3.680327E-19
7597.18207442773  3.786288E-19
7598.54950189603  7.411456E-19
7599.91692936433  6.429084E-19
7601.28435683263  3.230016E-19
7602.65178430093  4.436109E-19
7604.01921176923  4.472900E-19
7605.38663923754  5.771089E-19
7606.75406670583  3.877945E-19
7608.12149417413  7.900157E-19
7609.48892164243  1.193759E-18
7610.85634911073  5.351698E-19
7612.22377657903  5.284102E-19
7613.59120404733  6.602036E-19
7614.95863151563  9.812558E-19
7616.32605898393  8.784691E-19
7617.69348645223  7.522910E-19
7619.06091392053  6.329623E-19
7620.42834138883  8.189971E-19
7621.79576885713  1.024784E-18
7623.16319632543  7.654854E-19
7624.53062379373  6.047421E-19
7625.89805126203  6.764131E-19
7627.26547873033  8.920609E-19
7628.63290619863  6.379954E-19
7630.00033366693  7.132851E-19
7631.36776113523  7.001603E-19
7632.73518860353  8.871387E-19
7634.10261607183  7.302393E-19
7635.47004354013  8.637937E-19
7636.83747100843  9.324000E-19
7638.20489847673  9.637569E-19
7639.57232594503  9.432075E-19
7640.93975341333  8.388834E-19
7642.30718088163  4.990773E-19
7643.67460834993  7.618279E-19
7645.04203581823  8.472580E-19
7646.40946328653  7.146112E-19
7647.77689075483  7.405945E-19
7649.14431822313  7.199262E-19
7650.51174569143  8.136476E-19
7651.87917315973  7.391095E-19
7653.24660062803  8.780235E-19
7654.61402809633  8.981871E-19
7655.98145556463  6.795337E-19
7657.34888303293  9.306136E-19
7658.71631050123  1.082046E-18
7660.08373796953  8.289669E-19
7661.45116543783  8.716897E-19
7662.81859290613  1.103686E-18
7664.18602037443  8.868222E-19
7665.55344784273  7.901917E-19
7666.92087531103  9.879612E-19
7668.28830277933  7.812935E-19
7669.65573024763  7.147970E-19
7671.02315771593  8.033023E-19
7672.39058518423  8.061213E-19
7673.75801265253  8.016778E-19
7675.12544012083  8.772596E-19
7676.49286758913  8.555145E-19
7677.86029505743  9.515838E-19
7679.22772252573  7.086378E-19
7680.59514999403  9.767796E-19
7681.96257746233  6.632007E-19
7683.33000493063  5.493364E-19
7684.69743239893  4.676616E-19
7686.06485986723  6.767853E-19
7687.43228733553  9.064392E-19
7688.79971480383  7.203058E-19
7690.16714227213  8.881604E-19
7691.53456974043  5.529110E-19
7692.90199720873  8.873103E-19
7694.26942467703  6.295186E-19
7695.63685214533  7.180754E-19
7697.00427961363  8.579195E-19
7698.37170708193  7.786277E-19
7699.73913455023  7.344982E-19
7701.10656201853  7.820500E-19
7702.47398948682  7.435253E-19
7703.84141695513  8.479789E-19
7705.20884442343  8.483046E-19
7706.57627189172  7.578837E-19
7707.94369936003  1.031692E-18
7709.31112682833  1.120070E-18
7710.67855429663  8.642517E-19
7712.04598176493  5.665951E-19
7713.41340923322  1.123512E-18
7714.78083670153  9.851023E-19
7716.14826416982  6.856315E-19
7717.51569163812  7.959291E-19
7718.88311910642  3.564345E-19
7720.25054657472  1.000978E-18
7721.61797404302  7.205445E-19
7722.98540151132  8.451464E-19
7724.35282897962  7.476557E-19
7725.72025644792  6.533633E-19
7727.08768391622  8.385881E-19
7728.45511138453  9.634975E-19
7729.82253885282  7.720100E-19
7731.18996632112  8.862820E-19
7732.55739378942  9.853453E-19
7733.92482125772  8.024893E-19
7735.29224872602  7.388615E-19
7736.65967619432  2.528032E-19
7738.02710366262  7.900559E-19
7739.39453113092  7.868910E-19
7740.76195859922  7.962662E-19
7742.12938606752  7.837399E-19
7743.49681353582  7.443042E-19
7744.86424100412  7.466063E-19
7746.23166847242  1.020063E-18
7747.59909594072  7.451786E-19
7748.96652340902  1.355301E-19
7750.33395087732  1.095191E-18
7751.70137834562  7.069758E-19
7753.06880581392  5.396992E-19
7754.43623328222  4.597178E-19
7755.80366075052  1.388701E-18
7757.17108821882  5.771102E-19
7758.53851568712  7.456048E-19
7759.90594315542  9.088844E-19
7761.27337062372  4.939281E-19
7762.64079809202  8.237933E-19
7764.00822556032  7.966519E-19
7765.37565302862  6.807909E-19
7766.74308049692  5.333523E-19
7768.11050796522  7.540531E-19
7769.47793543352  6.527842E-19
7770.84536290182  4.699776E-19
7772.21279037012  9.366154E-19
7773.58021783842  8.409585E-19
7774.94764530672  4.675417E-19
7776.31507277502  7.278886E-19
7777.68250024332  9.520091E-19
7779.04992771162  1.027268E-18
7780.41735517992  7.458347E-19
7781.78478264822  7.480239E-19
7783.15221011652  6.812047E-19
7784.51963758482  7.839303E-19
7785.88706505312  7.605096E-19
7787.25449252142  4.210640E-19
7788.62191998972  3.685199E-19
7789.98934745802  5.709174E-19
7791.35677492632  4.148329E-19
7792.72420239462  8.921623E-19
7794.09162986292  5.399010E-19
7795.45905733122  6.222595E-19
7796.82648479952  6.306627E-19
7798.19391226782  6.257797E-19
7799.56133973612  6.771372E-19
7800.92876720442  7.183560E-19
7802.29619467272  7.850795E-19
7803.66362214102  9.921737E-19
7805.03104960932  1.029333E-18
7806.39847707762  7.642359E-19
7807.76590454592  6.517930E-19
7809.13333201422  2.884569E-19
7810.50075948252  7.869281E-19
7811.86818695082  8.017529E-19
7813.23561441912  7.782477E-19
7814.60304188742  7.602199E-19
7815.97046935572  6.890665E-19
7817.33789682402  1.068030E-18
7818.70532429232  5.205845E-19
7820.07275176062  6.441937E-19
7821.44017922892  7.878631E-19
7822.80760669722  8.931791E-19
7824.17503416552  5.500485E-19
7825.54246163382  7.018048E-19
7826.90988910212  6.831065E-19
7828.27731657042  6.929248E-19
7829.64474403872  6.705748E-19
7831.01217150702  6.230977E-19
7832.37959897532  6.074872E-19
7833.74702644362  6.975165E-19
7835.11445391192  7.904165E-19
7836.48188138022  8.479359E-19
7837.84930884852  9.216294E-19
7839.21673631682  6.808615E-19
7840.58416378512  7.405644E-19
7841.95159125342  8.520360E-19
7843.31901872172  9.560976E-19
7844.68644619002  5.345198E-19
7846.05387365832  6.210460E-19
7847.42130112661  5.899059E-19
7848.78872859492  2.291065E-19
7850.15615606322  7.276772E-19
7851.52358353152  3.637338E-19
7852.89101099981  7.696196E-19
7854.25843846811  1.107726E-18
7855.62586593642  1.621024E-19
7856.99329340472  5.845626E-19
7858.36072087301  5.640493E-19
7859.72814834131  6.076974E-19
7861.09557580961  -9.673561E-20
7862.46300327792  -5.045365E-20
7863.83043074621  1.001311E-18
7865.19785821451  9.668503E-19
7866.56528568281  1.358128E-18
7867.93271315112  1.019805E-18
7869.30014061941  9.332050E-19
7870.66756808771  8.472756E-19
7872.03499555601  8.814839E-19
7873.40242302431  6.925303E-19
7874.76985049261  5.470743E-19
7876.13727796091  4.504156E-20
7877.50470542921  7.853853E-19
7878.87213289751  8.468910E-19
7880.23956036581  2.810508E-19
7881.60698783411  6.754641E-19
7882.97441530241  6.476650E-19
7884.34184277071  7.562794E-19
7885.70927023901  7.633419E-19
7887.07669770731  2.301743E-19
7888.44412517561  5.297701E-19
7889.81155264391  1.211848E-18
7891.17898011221  5.583530E-19
7892.54640758051  7.992196E-19
7893.91383504881  6.285490E-19
7895.28126251711  6.164196E-19
7896.64868998541  9.079303E-19
7898.01611745371  5.821634E-19
7899.38354492201  6.777400E-19
7900.75097239031  7.366929E-19
7902.11839985861  6.653868E-19
7903.48582732691  6.541497E-19
7904.85325479521  5.940088E-19
7906.22068226351  5.386183E-19
7907.58810973181  -7.504451E-20
7908.95553720011  9.825716E-19
7910.32296466841  5.228600E-19
7911.69039213671  3.126071E-19
7913.05781960501  6.059384E-19
7914.42524707331  3.994184E-19
7915.79267454161  7.494166E-19
7917.16010200991  1.128052E-18
7918.52752947821  4.810364E-19
7919.89495694651  4.621600E-19
7921.26238441481  5.079717E-19
7922.62981188311  5.393875E-20
7923.99723935141  7.131921E-19
7925.36466681971  5.252116E-19
7926.73209428801  3.693880E-19
7928.09952175631  6.898351E-19
7929.46694922461  1.738417E-19
7930.83437669291  7.413004E-19
7932.20180416121  8.202056E-19
7933.56923162951  6.567745E-19
7934.93665909781  5.844755E-19
7936.30408656611  6.149963E-19
7937.67151403441  5.238557E-19
7939.03894150271  5.109477E-19
7940.40636897101  4.884725E-19
7941.77379643931  4.470325E-19
7943.14122390761  7.455955E-19
7944.50865137591  6.428147E-19
7945.87607884421  6.978062E-19
7947.24350631251  8.172026E-19
7948.61093378081  7.330373E-19
7949.97836124911  7.369946E-19
7951.34578871741  5.456896E-19
7952.71321618571  4.182261E-19
7954.08064365401  6.630013E-19
7955.44807112231  6.439084E-19
7956.81549859061  8.043286E-19
7958.18292605891  6.447925E-19
7959.55035352721  4.106399E-19
7960.91778099551  5.281025E-19
7962.28520846381  1.014996E-18
7963.65263593211  8.909462E-19
7965.02006340041  6.300840E-19
7966.38749086871  7.748435E-19
7967.75491833701  5.114604E-19
7969.12234580531  6.137883E-19
7970.48977327361  6.347817E-19
7971.85720074191  6.224404E-19
7973.22462821021  5.943721E-19
7974.59205567851  7.991151E-19
7975.95948314681  8.380484E-19
7977.32691061511  5.938398E-19
7978.69433808341  5.607432E-19
7980.06176555171  8.437526E-19
7981.42919302001  5.820537E-19
7982.7966204883  6.598000E-19
7984.16404795661  5.834955E-19
7985.53147542491  6.628828E-19
7986.89890289321  7.508033E-19
7988.26633036151  6.674904E-19
7989.63375782981  5.277126E-19
7991.0011852981  7.705224E-19
7992.3686127664  1.195908E-18
7993.7360402347  2.919883E-19
7995.103467703  7.717534E-19
7996.4708951713  5.469947E-19
7997.8383226396  5.082201E-19
7999.20575010791  5.782492E-19
8000.5731775762  5.923709E-19
8001.9406050445  4.331829E-19
8003.3080325128  4.151222E-19
8004.6754599811  7.358528E-19
8006.0428874494  7.325984E-19
8007.4103149177  5.110414E-19
8008.777742386  5.873387E-19
8010.1451698543  5.424055E-19
8011.5125973226  4.386577E-19
8012.8800247909  6.941718E-19
8014.2474522592  7.528693E-19
8015.6148797275  5.630708E-19
8016.9823071958  7.401873E-19
8018.3497346641  3.782252E-19
8019.7171621324  4.968746E-19
8021.0845896007  6.767391E-19
8022.452017069  9.485660E-19
8023.8194445373  8.938012E-19
8025.1868720056  5.111586E-19
8026.5542994739  8.490119E-19
8027.9217269422  9.388854E-19
8029.2891544105  7.930376E-19
8030.6565818788  6.340064E-19
8032.0240093471  6.330686E-19
8033.3914368154  5.692603E-19
8034.7588642837  5.095578E-19
8036.126291752  6.874600E-19
8037.4937192203  6.455355E-19
8038.8611466886  7.329936E-19
8040.2285741569  5.662510E-19
8041.5960016252  8.345198E-19
8042.9634290935  7.834188E-19
8044.3308565618  6.731973E-19
8045.6982840301  4.963765E-19
8047.0657114984  6.578396E-19
8048.4331389667  5.396525E-19
8049.800566435  6.355106E-19
8051.1679939033  8.132797E-19
8052.5354213716  6.905221E-19
8053.9028488399  4.527001E-19
8055.2702763082  6.283273E-19
8056.6377037765  6.689587E-19
8058.0051312448  5.694454E-19
8059.3725587131  2.515283E-19
8060.7399861814  7.181529E-19
8062.1074136497  8.592783E-19
8063.474841118  9.527885E-19
8064.8422685863  8.827457E-19
8066.2096960546  4.401114E-19
8067.5771235229  4.274982E-19
8068.9445509912  4.656649E-19
8070.3119784595  5.684324E-19
8071.6794059278  6.303366E-19
8073.0468333961  5.706099E-19
8074.4142608644  6.452108E-19
8075.7816883327  4.975151E-19
8077.149115801  5.474834E-19
8078.5165432693  5.905823E-19
8079.8839707376  7.059232E-19
8081.2513982059  6.132383E-19
8082.6188256742  4.525631E-19
8083.9862531425  6.488913E-19
8085.3536806108  5.015573E-19
8086.7211080791  5.342885E-19
8088.0885355474  5.334565E-19
8089.4559630157  5.976266E-19
8090.823390484  6.713956E-19
8092.1908179523  6.968963E-19
8093.5582454206  5.947766E-19
8094.9256728889  4.192076E-19
8096.2931003572  5.835383E-19
8097.6605278255  7.485836E-19
8099.0279552938  5.608586E-19
8100.3953827621  6.766407E-19
8101.7628102304  7.539445E-19
8103.1302376987  5.499980E-19
8104.497665167  5.205775E-19
8105.8650926353  6.945703E-19
8107.2325201036  6.789124E-19
8108.5999475719  7.601679E-19
8109.9673750402  6.368093E-19
8111.3348025085  6.650066E-19
8112.7022299768  7.392373E-19
8114.0696574451  7.539697E-19
8115.4370849134  6.578363E-19
8116.80451238169  6.400903E-19
8118.17193985  6.415028E-19
8119.5393673183  6.782616E-19
8120.9067947866  5.479551E-19
8122.27422225489  6.430931E-19
8123.64164972319  6.591943E-19
8125.0090771915  6.773407E-19
8126.3765046598  8.122182E-19
8127.74393212809  7.362853E-19
8129.11135959639  5.766085E-19
8130.47878706469  7.915260E-19
8131.846214533  7.699076E-19
8133.21364200129  5.469380E-19
8134.58106946959  5.085972E-19
8135.94849693789  7.789016E-19
8137.3159244062  5.933002E-19
8138.68335187449  4.837157E-19
8140.05077934279  3.588800E-19
8141.41820681109  6.725978E-19
8142.7856342794  6.104710E-19
8144.15306174769  8.113002E-19
8145.52048921599  6.040475E-19
8146.88791668429  4.886095E-19
8148.25534415259  7.011470E-19
8149.62277162089  5.780567E-19
8150.99019908919  4.537754E-19
8152.35762655749  6.341883E-19
8153.72505402579  4.600553E-19
8155.09248149409  5.870205E-19
8156.45990896239  7.772364E-19
8157.82733643069  8.565681E-19
8159.19476389899  8.337255E-19
8160.56219136729  4.149576E-19
8161.92961883559  4.589435E-19
8163.29704630389  4.042847E-19
8164.66447377219  8.224178E-19
8166.03190124049  8.406447E-19
8167.39932870879  2.022185E-19
8168.76675617709  7.358805E-19
8170.13418364539  7.254819E-19
8171.50161111369  7.095753E-19
8172.86903858199  7.169343E-19
8174.23646605029  7.416775E-19
8175.60389351859  3.210763E-19
8176.97132098689  7.502576E-19
8178.33874845519  4.543041E-19
8179.70617592349  6.064396E-19
8181.07360339179  7.889808E-19
8182.44103086009  8.743963E-19
8183.80845832839  6.135897E-19
8185.17588579669  6.232438E-19
8186.54331326499  6.756638E-19
8187.91074073329  7.092447E-19
8189.27816820159  6.040847E-19
8190.64559566989  6.741505E-19
8192.01302313819  7.405277E-19
8193.38045060649  6.762800E-19
8194.74787807479  7.466717E-19
8196.11530554309  3.920536E-19
8197.48273301139  4.154005E-19
8198.85016047969  5.693909E-19
8200.21758794799  5.936088E-19
8201.58501541629  3.654103E-19
8202.95244288459  6.928761E-19
8204.31987035289  6.618061E-19
8205.68729782119  4.762224E-19
8207.05472528949  5.853883E-19
8208.42215275779  7.989821E-19
8209.78958022609  7.954082E-19
8211.15700769439  7.491380E-19
8212.52443516269  6.451104E-19
8213.89186263099  7.270889E-19
8215.25929009929  8.064646E-19
8216.62671756759  7.942101E-19
8217.99414503589  7.101044E-19
8219.36157250419  7.332961E-19
8220.72899997249  5.457577E-19
8222.09642744079  4.976951E-19
8223.46385490909  6.189772E-19
8224.83128237739  8.637326E-19
8226.19870984569  6.729228E-19
8227.56613731399  6.704632E-19
8228.93356478229  7.639537E-19
8230.30099225059  7.498053E-19
8231.66841971889  9.382244E-19
8233.03584718719  6.954301E-19
8234.40327465549  8.603384E-19
8235.77070212379  6.918863E-19
8237.13812959209  7.530399E-19
8238.50555706039  5.759011E-19
8239.87298452869  7.806768E-19
8241.24041199699  7.926369E-19
8242.60783946529  9.175343E-19
8243.97526693359  5.571494E-19
8245.34269440189  7.555970E-19
8246.71012187019  1.034250E-18
8248.07754933849  6.872389E-19
8249.44497680679  6.860167E-19
8250.81240427509  5.644685E-19
8252.17983174339  6.500256E-19
8253.54725921169  8.020902E-19
8254.91468667999  8.656569E-19
8256.28211414829  7.416717E-19
8257.64954161659  6.555089E-19
8259.01696908489  7.189563E-19
8260.38439655319  5.398367E-19
8261.75182402148  5.056283E-19
8263.11925148979  8.110274E-19
8264.48667895808  5.913486E-19
8265.85410642639  9.841062E-19
8267.22153389468  5.442430E-19
8268.58896136298  6.002908E-19
8269.95638883128  7.167205E-19
8271.32381629959  7.065040E-19
8272.69124376788  5.187369E-19
8274.05867123618  5.823395E-19
8275.42609870448  8.139341E-19
8276.79352617279  3.353575E-19
8278.16095364108  7.210096E-19
8279.52838110938  8.396143E-19
8280.89580857768  7.154054E-19
8282.26323604598  1.457663E-18
8283.63066351428  5.136691E-19
8284.99809098258  1.164645E-18
8286.36551845088  1.268819E-18
8287.73294591918  6.471881E-19
8289.10037338748  1.336997E-18
8290.46780085578  8.784840E-19
8291.83522832408  5.715888E-19
8293.20265579238  6.860392E-19
8294.57008326068  -6.695367E-20
8295.93751072899  2.816125E-19
8297.30493819728  6.939782E-19
8298.67236566558  1.108915E-18
8300.03979313388  1.565091E-19
8301.40722060218  -6.873698E-20
8302.77464807048  6.456638E-19
8304.14207553878  7.553212E-19
8305.50950300708  6.183479E-19
8306.87693047538  9.012976E-19
8308.24435794368  3.273321E-19
8309.61178541198  6.449310E-19
8310.97921288028  8.323315E-19
8312.34664034858  9.620886E-19
8313.71406781688  6.789162E-19
8315.08149528518  7.298014E-19
8316.44892275348  7.446518E-19
8317.81635022178  8.443497E-19
8319.18377769008  8.848467E-19
8320.55120515838  6.670505E-19
8321.91863262668  6.676925E-19
8323.28606009498  7.710652E-19
8324.65348756328  6.035176E-19
8326.02091503158  8.265484E-19
8327.38834249988  8.107395E-19
8328.75576996818  7.706200E-19
8330.12319743648  8.466736E-19
8331.49062490478  7.454760E-19
8332.85805237308  8.031080E-19
8334.22547984138  7.197763E-19
8335.59290730968  4.366531E-19
8336.96033477798  7.699635E-19
8338.32776224628  6.420101E-19
8339.69518971458  9.732198E-19
8341.06261718288  6.388191E-19
8342.43004465118  9.286079E-19
8343.79747211948  9.067327E-19
8345.16489958778  1.394976E-18
8346.53232705608  4.100006E-19
8347.89975452438  9.228343E-19
8349.26718199268  7.225606E-19
8350.63460946098  1.283334E-18
8352.00203692928  4.655742E-19
8353.36946439758  1.043269E-18
8354.73689186588  1.008226E-18
8356.10431933418  9.949713E-19
8357.47174680248  7.137396E-19
8358.83917427078  8.405496E-19
8360.20660173908  7.001102E-19
8361.57402920738  4.692747E-19
8362.94145667568  8.373014E-19
8364.30888414398  6.749132E-19
8365.67631161228  7.377136E-19
8367.04373908058  6.101022E-19
8368.41116654888  1.039097E-18
8369.77859401718  9.040993E-19
8371.14602148548  6.358226E-19
8372.51344895378  7.629663E-19
8373.88087642208  8.297639E-19
8375.24830389038  6.456500E-19
8376.61573135868  9.165724E-19
8377.98315882698  5.231418E-19
8379.35058629528  9.010955E-19
8380.71801376358  -1.806860E-19
8382.08544123188  4.199088E-19
8383.45286870018  7.261098E-19
8384.82029616848  1.073045E-18
8386.18772363678  8.218693E-19
8387.55515110508  7.397605E-19
8388.92257857338  1.084865E-18
8390.29000604168  9.628764E-19
8391.65743350998  9.919501E-19
8393.02486097828  8.163799E-19
8394.39228844658  7.648994E-19
8395.75971591488  9.633096E-19
8397.12714338318  7.617741E-19
8398.49457085147  1.181902E-18
8399.86199831978  1.250359E-18
8401.22942578808  1.462023E-18
8402.59685325638  7.735104E-19
8403.96428072467  1.048527E-18
8405.33170819298  8.082929E-19
8406.69913566127  8.174992E-19
8408.06656312958  7.281593E-19
8409.43399059787  8.152755E-19
8410.80141806618  8.667744E-19
8412.16884553447  9.220525E-20
8413.53627300277  1.315991E-18
8414.90370047107  9.580247E-19
8416.27112793937  7.457714E-19
8417.63855540767  7.968404E-19
8419.00598287597  8.504787E-19
